PCOC posterior threshold calibration, set ARD_gain
FPR budget: 0.001

   thr  worst_gene_FPR  min_gene_power  mean_power
  0.70          0.0000           0.999       1.000
  0.80          0.0000           0.998       1.000
  0.85          0.0000           0.998       1.000
  0.90          0.0000           0.998       1.000
  0.95          0.0000           0.995       1.000
  0.99          0.0000           0.990       0.999  <== chosen

CHOSEN_THRESHOLD=0.99
basis: power and FPR are saturated across the whole tested range, so the calibration does not identify a threshold; the strictest value is taken because it costs no power

Per-gene power at the chosen threshold:
  PER3       power=0.990 (worst couple 0.960)  FPR=0.0000  events=5
  RORC       power=0.999 (worst couple 0.990)  FPR=0.0000  events=6
  PER2       power=0.999 (worst couple 0.990)  FPR=0.0000  events=6
  RORA       power=1.000 (worst couple 1.000)  FPR=0.0000  events=5
  PER1       power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  NR1D2      power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  NR1D1      power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  NPAS2      power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  ARNTL      power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  CSNK1E     power=1.000 (worst couple 1.000)  FPR=0.0000  events=5
  CSNK1D     power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  CRY2       power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  CRY1       power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  CLOCK      power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  BHLHE41    power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  BHLHE40    power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  RORB       power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
  FBXL3      power=1.000 (worst couple 1.000)  FPR=0.0000  events=6
